rule;support;confidence;lift;count
{10596399000179,16403724000116} => {00761025000108};0.01202890;0.5894161;6.283049;323
{06177718000134,10986234000103,15724019000158} => {16403724000116};0.01005512;0.7964602;14.305384;270
{10986234000103,15724019000158,16403724000116} => {06177718000134};0.01005512;0.8940397;16.602182;270
{06177718000134,10986234000103,16403724000116} => {15724019000158};0.01005512;0.7356948;17.717379;270
{06177718000134,15724019000158,16403724000116} => {00761025000108};0.01165649;0.5619390;5.990149;313
{00761025000108,06177718000134,15724019000158} => {16403724000116};0.01165649;0.7924051;14.232549;313
{00761025000108,15724019000158,16403724000116} => {06177718000134};0.01165649;0.8005115;14.865377;313
{00761025000108,06177718000134,16403724000116} => {15724019000158};0.01165649;0.5928030;14.276186;313
{21263301000188} => {01151850000153};0.01037853;0.6962025;32.194203;275
{71443667000107} => {01151850000153};0.01139752;0.6637363;30.692879;302
{01151850000153} => {71443667000107};0.01139752;0.5270506;30.692879;302
{06205427000102} => {00482840000138};0.01086915;0.6530612;19.912731;288
{14801463000167} => {15121468000101};0.01090690;0.5254545;22.312450;289
{14801463000167} => {08398304000160};0.01215232;0.5854545;22.224626;322
{14801463000167} => {08573956000194};0.01226554;0.5909091;21.507305;325
{14801463000167} => {00482840000138};0.01158622;0.5581818;17.019728;307
{15121468000101} => {08398304000160};0.01305808;0.5544872;21.049064;346
{15121468000101} => {08573956000194};0.01343548;0.5705128;20.764943;356
{15121468000101} => {00482840000138};0.01207684;0.5128205;15.636600;320
{17930162000121} => {13440815000133};0.01611503;0.9953380;43.235198;427
{13440815000133} => {17930162000121};0.01611503;0.7000000;43.235198;427
{08691984000106} => {16701048000167};0.01222780;1.0000000;81.780864;324
{16701048000167} => {08691984000106};0.01222780;1.0000000;81.780864;324
{06957510000138} => {03961467000196};0.01158622;0.9935275;84.920963;307
{03961467000196} => {06957510000138};0.01158622;0.9903226;84.920963;307
{10463704000154} => {08658622000113};0.01102012;0.6806527;15.206791;292
{10463704000154} => {09071136000167};0.01026531;0.6340326;10.748537;272
{08398304000160} => {08573956000194};0.02592746;0.9842407;35.823387;687
{08573956000194} => {08398304000160};0.02592746;0.9436813;35.823387;687
{08398304000160} => {00482840000138};0.01430351;0.5429799;16.556202;379
{17451234000158} => {08772301000145};0.01079367;0.5218978;12.828132;286
{08573956000194} => {00482840000138};0.01490735;0.5425824;16.544081;395
{13338681000144} => {08658622000113};0.01702079;0.6721311;15.016407;451
{13338681000144} => {09071136000167};0.01377514;0.5439642;9.221638;365
{10752963000103} => {03655629000168};0.01011435;0.5677966;12.992147;268
{12865335000151} => {12811487000171};0.01015209;0.5445344;23.692165;269
{17356181000196} => {11464383000175};0.01653017;0.6636364;6.488698;438
{18912500000165} => {11464383000175};0.01034079;0.5982533;5.849416;274
{05230436000190} => {12957821000108};0.01185040;0.5358362;15.136515;314
{21042594000173} => {08658622000113};0.01188814;0.5130293;11.461836;315
{12811487000171} => {14811522000188};0.01298260;0.5648604;21.021217;344
{20784313000195} => {08658622000113};0.01422803;0.5626866;12.571253;377
{10278886000193} => {15724019000158};0.01045401;0.5337187;13.229134;277
{14676091000194} => {11464383000175};0.01603955;0.6478659;6.334502;425
{14811522000188} => {11464383000175};0.01392610;0.5182584;5.067267;369
{06177718000134} => {15724019000158};0.01249198;0.5619694;13.929377;331
{06177718000134} => {00761025000108};0.01154848;0.5195246;9.633201;306
{04567265000127} => {03655629000168};0.01279390;0.5120846;11.717362;339
{04567265000127} => {15724019000158};0.01381288;0.5528701;13.703834;366
{10986234000103} => {15724019000158};0.01509605;0.5847953;14.495156;400
{11094173000132} => {24845457000165};0.01169944;0.5218855;8.211639;310
{03217016000149} => {11464383000175};0.01581311;0.5166461;5.051503;419
{20795155000179} => {24845457000165};0.02555006;0.5665272;8.914056;677
{15567891000130} => {11464383000175};0.03573990;0.6983776;6.828380;947
{08398304000160,14801463000167} => {08573956000194};0.01203910;0.9906832;36.057876;319
{08573956000194,14801463000167} => {08398304000160};0.01203910;0.9815385;37.260494;319
{08398304000160,15121468000101} => {08573956000194};0.01286938;0.9855491;35.871010;341
{08573956000194,15121468000101} => {08398304000160};0.01286938;0.9578652;36.361824;341
{08398304000160,08573956000194} => {00482840000138};0.01419029;0.5473071;16.688144;376
